Year,Entidad_federativa,GeoCode,Value
2017,Zacatecas,32,29.34272
2016,Estados Unidos Mexicanos,0,37.20037
2016,Aguascalientes,1,18.50481
2016,Baja California,2,28.83164
2016,Baja California Sur,3,7.31743
2016,Campeche,4,45.52957
2016,Coahuila de Zaragoza,5,42.69709
2016,Colima,6,36.71072
2016,Chiapas,7,50.63291
2016,Chihuahua,8,43.97681
2016,Ciudad de México,9,28.32956
2016,Durango,10,40.05837
2016,Guanajuato,11,32.36756
2016,Guerrero,12,53.75603
2016,Hidalgo,13,43.10587
2016,Jalisco,14,26.18802
2016,México,15,45.21728
2016,Michoacán de Ocampo,16,27.43641
2016,Morelos,17,34.3879
2016,Nayarit,18,34.42933
2016,Nuevo León,19,35.32094
2016,Oaxaca,20,51.56651
2016,Puebla,21,41.62552
2016,Querétaro,22,35.27603
2016,Quintana Roo,23,35.28208
2016,San Luis Potosí,24,27.34885
2016,Sinaloa,25,42.96236
2016,Sonora,26,42.04288
2016,Tabasco,27,36.31625
2016,Tamaulipas,28,32.52435
2016,Tlaxcala,29,41.38388
2016,Veracruz de Ignacio de la Llave,30,28.27294
2016,Yucatán,31,31.70851
2016,Zacatecas,32,22.83403
2015,Estados Unidos Mexicanos,0,34.96753
2015,Aguascalientes,1,25.82645
2015,Baja California,2,32.02211
2015,Baja California Sur,3,22.33306
2015,Campeche,4,46.51974
2015,Coahuila de Zaragoza,5,28.30314
2015,Colima,6,22.37637
2015,Chiapas,7,59.8472
2015,Chihuahua,8,48.30218
2015,Ciudad de México,9,44.33221
2015,Durango,10,31.14383
2015,Guanajuato,11,31.19449
2015,Guerrero,12,48.62631
2015,Hidalgo,13,33.20666
2015,Jalisco,14,24.69017
2015,México,15,33.58314
2015,Michoacán de Ocampo,16,34.30456
2015,Morelos,17,36.61327
2015,Nayarit,18,63.81078
2015,Nuevo León,19,23.50452
2015,Oaxaca,20,53.33333
2015,Puebla,21,32.30183
2015,Querétaro,22,14.90424
2015,Quintana Roo,23,20.7261
2015,San Luis Potosí,24,32.72251
2015,Sinaloa,25,24.38529
2015,Sonora,26,33.51933
2015,Tabasco,27,41.65344
2015,Tamaulipas,28,29.09826
2015,Tlaxcala,29,20.08435
2015,Veracruz de Ignacio de la Llave,30,28.71873
2015,Yucatán,31,35.29252
2015,Zacatecas,32,32.55314
2014,Estados Unidos Mexicanos,0,38.65963
2014,Aguascalientes,1,22.05315
2014,Baja California,2,28.21109
2014,Baja California Sur,3,15.8705
2014,Campeche,4,17.97591
2014,Coahuila de Zaragoza,5,36.95616
2014,Colima,6,29.66919
2014,Chiapas,7,60.30229
2014,Chihuahua,8,58.06509
2014,Ciudad de México,9,41.86446
2014,Durango,10,71.22101
2014,Guanajuato,11,27.67256
2014,Guerrero,12,57.28216
2014,Hidalgo,13,67.14288
2014,Jalisco,14,34.37903
2014,México,15,33.90353
2014,Michoacán de Ocampo,16,47.70475
2014,Morelos,17,9.05305
2014,Nayarit,18,25.66186
2014,Nuevo León,19,17.56196
2014,Oaxaca,20,50.77567
2014,Puebla,21,37.63551
2014,Querétaro,22,34.50741
2014,Quintana Roo,23,27.79225
2014,San Luis Potosí,24,26.00572
2014,Sinaloa,25,33.56897
2014,Sonora,26,34.71017
2014,Tabasco,27,40.65619
2014,Tamaulipas,28,25.88701
2014,Tlaxcala,29,51.36513
2014,Veracruz de Ignacio de la Llave,30,40.27854
2014,Yucatán,31,46.78427
2014,Zacatecas,32,30.53342
2013,Estados Unidos Mexicanos,0,37.86181
2013,Aguascalientes,1,25.73529
2013,Baja California,2,39.70749
2013,Baja California Sur,3,32.11046
2013,Campeche,4,65.39834
2013,Coahuila de Zaragoza,5,27.0065
2013,Colima,6,22.81022
2013,Chiapas,7,49.22588
2013,Chihuahua,8,60.66884
2013,Ciudad de México,9,41.92348
2013,Durango,10,41.24165
2013,Guanajuato,11,34.9159
2013,Guerrero,12,57.70795
2013,Hidalgo,13,40.18139
2013,Jalisco,14,22.41251
2013,México,15,36.07406
2013,Michoacán de Ocampo,16,36.74425
2013,Morelos,17,44.51699
2013,Nayarit,18,33.74531
2013,Nuevo León,19,14.77575
2013,Oaxaca,20,52.69178
2013,Puebla,21,31.84257
2013,Querétaro,22,35.02627
2013,Quintana Roo,23,46.17789
2013,San Luis Potosí,24,32.39391
2013,Sinaloa,25,26.69361
2013,Sonora,26,40.98281
2013,Tabasco,27,27.42356
2013,Tamaulipas,28,38.2187
2013,Tlaxcala,29,23.16334
2013,Veracruz de Ignacio de la Llave,30,43.58693
2013,Yucatán,31,56.54829
2013,Zacatecas,32,44.15011
2012,Estados Unidos Mexicanos,0,42.10368
2012,Aguascalientes,1,47.65396
2012,Baja California,2,30.96242
2012,Baja California Sur,3,23.28289
2012,Campeche,4,42.84752
2012,Coahuila de Zaragoza,5,34.39322
2012,Colima,6,23.57008
2012,Chiapas,7,55.32278
2012,Chihuahua,8,46.76312
2012,Ciudad de México,9,40.14596
2012,Durango,10,52.5152
2012,Guanajuato,11,34.82327
2012,Guerrero,12,73.43588
2012,Hidalgo,13,38.68187
2012,Jalisco,14,23.38847
2012,México,15,42.68803
2012,Michoacán de Ocampo,16,41.69533
2012,Morelos,17,39.02029
2012,Nayarit,18,42.23508
2012,Nuevo León,19,24.82173
2012,Oaxaca,20,68.30953
2012,Puebla,21,50.64934
2012,Querétaro,22,19.80149
2012,Quintana Roo,23,50.3996
2012,San Luis Potosí,24,43.88502
2012,Sinaloa,25,41.49065
2012,Sonora,26,34.72364
2012,Tabasco,27,34.15987
2012,Tamaulipas,28,25.96475
2012,Tlaxcala,29,59.43978
2012,Veracruz de Ignacio de la Llave,30,48.93
2012,Yucatán,31,56.36025
2012,Zacatecas,32,32.0482
2011,Estados Unidos Mexicanos,0,42.90793
2011,Aguascalientes,1,18.53019
2011,Baja California,2,33.37572
2011,Baja California Sur,3,31.6907
2011,Campeche,4,63.13929
2011,Coahuila de Zaragoza,5,39.49376
2011,Colima,6,39.32982
2011,Chiapas,7,48.25595
2011,Chihuahua,8,66.75761
2011,Ciudad de México,9,40.78214
2011,Durango,10,35.92252
2011,Guanajuato,11,34.9761
2011,Guerrero,12,86.90614
2011,Hidalgo,13,31.41135
2011,Jalisco,14,23.40504
2011,México,15,42.89294
2011,Michoacán de Ocampo,16,57.88554
2011,Morelos,17,40.00369
2011,Nayarit,18,41.46281
2011,Nuevo León,19,29.33412
2011,Oaxaca,20,64.35503
2011,Puebla,21,48.0973
2011,Querétaro,22,40.16266
2011,Quintana Roo,23,43.48553
2011,San Luis Potosí,24,48.29654
2011,Sinaloa,25,16.82212
2011,Sonora,26,45.35334
2011,Tabasco,27,41.38094
2011,Tamaulipas,28,15.73119
2011,Tlaxcala,29,27.29577
2011,Veracruz de Ignacio de la Llave,30,54.13498
2011,Yucatán,31,41.55536
2011,Zacatecas,32,39.12746
2010,Estados Unidos Mexicanos,0,43.69536
2010,Aguascalientes,1,39.25109
2010,Baja California,2,38.26348
2010,Baja California Sur,3,32.34937
2010,Campeche,4,47.18372
2010,Coahuila de Zaragoza,5,40.67728
2010,Colima,6,0.0
2010,Chiapas,7,57.0578
2010,Chihuahua,8,56.04576
2010,Ciudad de México,9,59.91187
2010,Durango,10,42.42921
2010,Guanajuato,11,34.61434
2010,Guerrero,12,67.19748
2010,Hidalgo,13,53.25205
2010,Jalisco,14,29.73443
2010,México,15,40.54363
2010,Michoacán de Ocampo,16,53.25798
2010,Morelos,17,30.01561
2010,Nayarit,18,33.45041
2010,Nuevo León,19,15.71092
2010,Oaxaca,20,75.11522
2010,Puebla,21,46.19416
2010,Querétaro,22,35.05366
2010,Quintana Roo,23,45.3404
2010,San Luis Potosí,24,40.963
2010,Sinaloa,25,34.06446
2010,Sonora,26,23.02954
2010,Tabasco,27,30.94812
2010,Tamaulipas,28,40.06287
2010,Tlaxcala,29,57.32302
2010,Veracruz de Ignacio de la Llave,30,52.74761
2010,Yucatán,31,33.30835
2010,Zacatecas,32,35.95721
2009,Estados Unidos Mexicanos,0,53.17143
2009,Aguascalientes,1,51.07854
2009,Baja California,2,48.19277
2009,Baja California Sur,3,41.41473
2009,Campeche,4,47.17537
2009,Coahuila de Zaragoza,5,25.75284
2009,Colima,6,23.80386
2009,Chiapas,7,59.25951
2009,Chihuahua,8,79.269
2009,Ciudad de México,9,56.29134
2009,Durango,10,36.70761
2009,Guanajuato,11,49.68574
2009,Guerrero,12,86.07268
2009,Hidalgo,13,54.96821
2009,Jalisco,14,50.35935
2009,México,15,56.65432
2009,Michoacán de Ocampo,16,44.18199
2009,Morelos,17,68.85815
2009,Nayarit,18,50.92298
2009,Nuevo León,19,28.44303
2009,Oaxaca,20,83.27445
2009,Puebla,21,61.21536
2009,Querétaro,22,32.40966
2009,Quintana Roo,23,35.12099
2009,San Luis Potosí,24,51.47248
2009,Sinaloa,25,33.97252
2009,Sonora,26,40.57344
2009,Tabasco,27,50.69541
2009,Tamaulipas,28,37.09141
2009,Tlaxcala,29,44.76822
2009,Veracruz de Ignacio de la Llave,30,62.70438
2009,Yucatán,31,41.16921
2009,Zacatecas,32,50.95771
2008,Estados Unidos Mexicanos,0,49.29455
2008,Aguascalientes,1,35.41355
2008,Baja California,2,38.92313
2008,Baja California Sur,3,42.94426
2008,Campeche,4,41.21283
2008,Coahuila de Zaragoza,5,33.03601
2008,Colima,6,32.11819
2008,Chiapas,7,77.74998
2008,Chihuahua,8,54.73296
2008,Ciudad de México,9,53.10429
2008,Durango,10,64.77414
2008,Guanajuato,11,32.54991
2008,Guerrero,12,78.48598
2008,Hidalgo,13,51.41766
2008,Jalisco,14,32.4323
2008,México,15,52.55435
2008,Michoacán de Ocampo,16,47.10568
2008,Morelos,17,44.82697
2008,Nayarit,18,38.89201
2008,Nuevo León,19,26.47726
2008,Oaxaca,20,83.92519
2008,Puebla,21,47.9594
2008,Querétaro,22,43.41573
2008,Quintana Roo,23,60.61903
2008,San Luis Potosí,24,30.85803
2008,Sinaloa,25,33.75844
2008,Sonora,26,27.20718
2008,Tabasco,27,61.72295
2008,Tamaulipas,28,51.13108
2008,Tlaxcala,29,24.25614
2008,Veracruz de Ignacio de la Llave,30,65.8151
2008,Yucatán,31,40.67245
2008,Zacatecas,32,35.97338
2007,Estados Unidos Mexicanos,0,48.3354
2007,Aguascalientes,1,15.77163
2007,Baja California,2,36.01598
2007,Baja California Sur,3,71.32668
2007,Campeche,4,17.63668
2007,Coahuila de Zaragoza,5,22.88491
2007,Colima,6,16.25356
2007,Chiapas,7,66.74653
2007,Chihuahua,8,66.20515
2007,Ciudad de México,9,67.44928
2007,Durango,10,39.34131
2007,Guanajuato,11,33.65785
2007,Guerrero,12,81.06088
2007,Hidalgo,13,55.23234
2007,Jalisco,14,28.78778
2007,México,15,49.14022
2007,Michoacán de Ocampo,16,41.511
2007,Morelos,17,44.76276
2007,Nayarit,18,22.00317
2007,Nuevo León,19,19.79645
2007,Oaxaca,20,87.10043
2007,Puebla,21,44.26906
2007,Querétaro,22,46.3708
2007,Quintana Roo,23,50.74854
2007,San Luis Potosí,24,53.81938
2007,Sinaloa,25,46.59745
2007,Sonora,26,39.09686
2007,Tabasco,27,50.73007
2007,Tamaulipas,28,38.82651
2007,Tlaxcala,29,28.12374
2007,Veracruz de Ignacio de la Llave,30,66.23757
2007,Yucatán,31,53.6193
2007,Zacatecas,32,29.9958
2006,Estados Unidos Mexicanos,0,51.30676
2006,Aguascalientes,1,47.34475
2006,Baja California,2,37.93877
2006,Baja California Sur,3,36.97883
2006,Campeche,4,58.62352
2006,Coahuila de Zaragoza,5,24.90306
2006,Colima,6,49.27322
2006,Chiapas,7,70.92935
2006,Chihuahua,8,61.72396
2006,Ciudad de México,9,58.13044
2006,Durango,10,72.78835
2006,Guanajuato,11,36.42586
2006,Guerrero,12,106.30086
2006,Hidalgo,13,47.93245
2006,Jalisco,14,48.2801
2006,México,15,50.75762
2006,Michoacán de Ocampo,16,56.02596
2006,Morelos,17,50.58922
2006,Nayarit,18,31.3115
2006,Nuevo León,19,28.21339
2006,Oaxaca,20,66.66502
2006,Puebla,21,47.41263
2006,Querétaro,22,54.77801
2006,Quintana Roo,23,47.87332
2006,San Luis Potosí,24,33.65572
2006,Sinaloa,25,36.99251
2006,Sonora,26,49.07349
2006,Tabasco,27,46.27385
2006,Tamaulipas,28,54.38245
2006,Tlaxcala,29,55.83696
2006,Veracruz de Ignacio de la Llave,30,52.57589
2006,Yucatán,31,26.48095
2006,Zacatecas,32,41.95008
2005,Estados Unidos Mexicanos,0,54.45377
2005,Aguascalientes,1,27.64067
2005,Baja California,2,46.62238
2005,Baja California Sur,3,28.52524
2005,Campeche,4,64.44431
2005,Coahuila de Zaragoza,5,43.03157
2005,Colima,6,8.23113
2005,Chiapas,7,71.51579
2005,Chihuahua,8,81.57891
2005,Ciudad de México,9,58.65963
2005,Durango,10,38.93106
2005,Guanajuato,11,35.61797
2005,Guerrero,12,106.81076
2005,Hidalgo,13,67.92106
2005,Jalisco,14,32.60474
2005,México,15,66.93304
2005,Michoacán de Ocampo,16,47.95263
2005,Morelos,17,67.88065
2005,Nayarit,18,81.05187
2005,Nuevo León,19,23.6678
2005,Oaxaca,20,85.44818
2005,Puebla,21,54.95036
2005,Querétaro,22,41.22465
2005,Quintana Roo,23,48.69279
2005,San Luis Potosí,24,43.704
2005,Sinaloa,25,42.08985
2005,Sonora,26,37.29952
2005,Tabasco,27,46.02941
2005,Tamaulipas,28,48.22501
2005,Tlaxcala,29,55.59527
2005,Veracruz de Ignacio de la Llave,30,54.1172
2005,Yucatán,31,49.85306
2005,Zacatecas,32,23.81945
2004,Estados Unidos Mexicanos,0,54.09547
2004,Aguascalientes,1,19.79571
2004,Baja California,2,55.67741
2004,Baja California Sur,3,38.83118
2004,Campeche,4,41.15952
2004,Coahuila de Zaragoza,5,27.08804
2004,Colima,6,32.77882
2004,Chiapas,7,84.35037
2004,Chihuahua,8,48.57976
2004,Ciudad de México,9,62.89763
2004,Durango,10,66.19594
2004,Guanajuato,11,44.81802
2004,Guerrero,12,85.70896
2004,Hidalgo,13,61.90147
2004,Jalisco,14,41.37879
2004,México,15,67.15347
2004,Michoacán de Ocampo,16,39.8773
2004,Morelos,17,40.82109
2004,Nayarit,18,44.97616
2004,Nuevo León,19,14.27976
2004,Oaxaca,20,77.1233
2004,Puebla,21,63.89823
2004,Querétaro,22,49.68533
2004,Quintana Roo,23,42.02644
2004,San Luis Potosí,24,55.26484
2004,Sinaloa,25,32.55503
2004,Sonora,26,35.25679
2004,Tabasco,27,45.66111
2004,Tamaulipas,28,40.59455
2004,Tlaxcala,29,47.66066
2004,Veracruz de Ignacio de la Llave,30,65.35606
2004,Yucatán,31,44.41541
2004,Zacatecas,32,26.53537
2003,Estados Unidos Mexicanos,0,57.19351
2003,Aguascalientes,1,47.73839
2003,Baja California,2,37.68091
2003,Baja California Sur,3,89.3655
2003,Campeche,4,53.2135
2003,Coahuila de Zaragoza,5,38.25346
2003,Colima,6,24.52182
2003,Chiapas,7,93.9983
2003,Chihuahua,8,47.14488
2003,Ciudad de México,9,70.69813
2003,Durango,10,52.08476
2003,Guanajuato,11,52.37946
2003,Guerrero,12,104.57034
2003,Hidalgo,13,57.89655
2003,Jalisco,14,35.17257
2003,México,15,71.22193
2003,Michoacán de Ocampo,16,47.249
2003,Morelos,17,80.81041
2003,Nayarit,18,67.49156
2003,Nuevo León,19,11.98322
2003,Oaxaca,20,59.60968
2003,Puebla,21,64.81589
2003,Querétaro,22,47.23797
2003,Quintana Roo,23,54.72812
2003,San Luis Potosí,24,64.99504
2003,Sinaloa,25,19.69879
2003,Sonora,26,35.23884
2003,Tabasco,27,47.53879
2003,Tamaulipas,28,34.52605
2003,Tlaxcala,29,63.70695
2003,Veracruz de Ignacio de la Llave,30,60.95189
2003,Yucatán,31,54.76594
2003,Zacatecas,32,64.34818
2002,Estados Unidos Mexicanos,0,56.85229
2002,Aguascalientes,1,23.9789
2002,Baja California,2,29.53953
2002,Baja California Sur,3,60.90134
2002,Campeche,4,65.36725
2002,Coahuila de Zaragoza,5,42.2181
2002,Colima,6,16.29461
2002,Chiapas,7,84.06969
2002,Chihuahua,8,71.35823
2002,Ciudad de México,9,54.2804
2002,Durango,10,38.12532
2002,Guanajuato,11,48.92533
2002,Guerrero,12,93.77093
2002,Hidalgo,13,55.71131
2002,Jalisco,14,31.44357
2002,México,15,65.06931
2002,Michoacán de Ocampo,16,38.53907
2002,Morelos,17,71.38778
2002,Nayarit,18,71.94245
2002,Nuevo León,19,26.52264
2002,Oaxaca,20,94.3196
2002,Puebla,21,63.54662
2002,Querétaro,22,53.13199
2002,Quintana Roo,23,48.03074
2002,San Luis Potosí,24,71.1346
2002,Sinaloa,25,33.67003
2002,Sonora,26,44.97282
2002,Tabasco,27,32.19575
2002,Tamaulipas,28,36.24901
2002,Tlaxcala,29,75.81501
2002,Veracruz de Ignacio de la Llave,30,72.64966
2002,Yucatán,31,75.47759
2002,Zacatecas,32,46.40775
2001,Estados Unidos Mexicanos,0,69.95604
2001,Aguascalientes,1,60.14435
2001,Baja California,2,40.49011
2001,Baja California Sur,3,20.72109
2001,Campeche,4,23.84643
2001,Coahuila de Zaragoza,5,49.84309
2001,Colima,6,8.1057
2001,Chiapas,7,102.65091
2001,Chihuahua,8,76.84536
2001,Ciudad de México,9,76.42339
2001,Durango,10,48.61449
2001,Guanajuato,11,46.25386
2001,Guerrero,12,122.7688
2001,Hidalgo,13,53.47212
2001,Jalisco,14,44.01325
2001,México,15,103.11718
2001,Michoacán de Ocampo,16,58.21738
2001,Morelos,17,78.98894
2001,Nayarit,18,58.30904
2001,Nuevo León,19,26.63051
2001,Oaxaca,20,91.98132
2001,Puebla,21,91.55675
2001,Querétaro,22,70.27012
2001,Quintana Roo,23,73.74329
2001,San Luis Potosí,24,92.13965
2001,Sinaloa,25,28.01562
2001,Sonora,26,54.59154
2001,Tabasco,27,19.1575
2001,Tamaulipas,28,60.02875
2001,Tlaxcala,29,87.85942
2001,Veracruz de Ignacio de la Llave,30,67.45921
2001,Yucatán,31,59.6829
2001,Zacatecas,32,51.69591
2000,Estados Unidos Mexicanos,0,75.40832
2000,Aguascalientes,1,72.48128
2000,Baja California,2,53.5437
2000,Baja California Sur,3,21.16402
2000,Campeche,4,53.87286
2000,Coahuila de Zaragoza,5,44.56245
2000,Colima,6,56.47438
2000,Chiapas,7,80.71391
2000,Chihuahua,8,66.70925
2000,Ciudad de México,9,87.69646
2000,Durango,10,48.24702
2000,Guanajuato,11,66.28295
2000,Guerrero,12,121.41123
2000,Hidalgo,13,56.6011
2000,Jalisco,14,54.10643
2000,México,15,97.86321
2000,Michoacán de Ocampo,16,58.17724
2000,Morelos,17,64.15621
2000,Nayarit,18,67.1231
2000,Nuevo León,19,54.70992
2000,Oaxaca,20,113.9057
2000,Puebla,21,73.75939
2000,Querétaro,22,107.47214
2000,Quintana Roo,23,96.63866
2000,San Luis Potosí,24,74.64543
2000,Sinaloa,25,58.85611
2000,Sonora,26,42.78657
2000,Tabasco,27,52.79608
2000,Tamaulipas,28,68.10263
2000,Tlaxcala,29,67.99456
2000,Veracruz de Ignacio de la Llave,30,88.23455
2000,Yucatán,31,82.8715
2000,Zacatecas,32,68.30601
1999,Estados Unidos Mexicanos,0,81.62345
1999,Aguascalientes,1,84.75602
1999,Baja California,2,41.65459
1999,Baja California Sur,3,42.96917
1999,Campeche,4,53.88899
1999,Coahuila de Zaragoza,5,42.75172
1999,Colima,6,32.23207
1999,Chiapas,7,111.29356
1999,Chihuahua,8,72.23898
1999,Ciudad de México,9,112.25759
1999,Durango,10,55.54233
1999,Guanajuato,11,71.13566
1999,Guerrero,12,127.22796
1999,Hidalgo,13,89.50195
1999,Jalisco,14,50.23895
1999,México,15,110.20625
1999,Michoacán de Ocampo,16,70.37364
1999,Morelos,17,63.52012
1999,Nayarit,18,71.17438
1999,Nuevo León,19,47.50999
1999,Oaxaca,20,97.98671
1999,Puebla,21,72.61755
1999,Querétaro,22,71.20681
1999,Quintana Roo,23,73.35174
1999,San Luis Potosí,24,77.05802
1999,Sinaloa,25,52.99055
1999,Sonora,26,48.35683
1999,Tabasco,27,92.41174
1999,Tamaulipas,28,77.71487
1999,Tlaxcala,29,104.04162
1999,Veracruz de Ignacio de la Llave,30,101.34421
1999,Yucatán,31,51.52913
1999,Zacatecas,32,56.32058
1998,Estados Unidos Mexicanos,0,79.83539
1998,Aguascalientes,1,36.30496
1998,Baja California,2,47.77129
1998,Baja California Sur,3,75.76578
1998,Campeche,4,59.62674
1998,Coahuila de Zaragoza,5,75.84587
1998,Colima,6,32.26847
1998,Chiapas,7,102.5425
1998,Chihuahua,8,46.624
1998,Ciudad de México,9,109.47517
1998,Durango,10,46.66114
1998,Guanajuato,11,67.52138
1998,Guerrero,12,144.54068
1998,Hidalgo,13,60.86745
1998,Jalisco,14,45.59109
1998,México,15,114.42697
1998,Michoacán de Ocampo,16,77.53154
1998,Morelos,17,101.19797
1998,Nayarit,18,74.81077
1998,Nuevo León,19,45.01052
1998,Oaxaca,20,99.40246
1998,Puebla,21,79.31828
1998,Querétaro,22,83.17797
1998,Quintana Roo,23,66.49526
1998,San Luis Potosí,24,54.93351
1998,Sinaloa,25,42.10739
1998,Sonora,26,40.23066
1998,Tabasco,27,79.48128
1998,Tamaulipas,28,72.90131
1998,Tlaxcala,29,95.8543
1998,Veracruz de Ignacio de la Llave,30,86.6805
1998,Yucatán,31,68.91447
1998,Zacatecas,32,55.57717
1997,Estados Unidos Mexicanos,0,79.33091
1997,Aguascalientes,1,48.37929
1997,Baja California,2,31.6969
1997,Baja California Sur,3,76.32755
1997,Campeche,4,71.2716
1997,Coahuila de Zaragoza,5,33.12599
1997,Colima,6,80.73632
1997,Chiapas,7,107.49231
1997,Chihuahua,8,88.75615
1997,Ciudad de México,9,93.35277
1997,Durango,10,55.90425
1997,Guanajuato,11,58.95345
1997,Guerrero,12,110.73048
1997,Hidalgo,13,68.93224
1997,Jalisco,14,63.35364
1997,México,15,104.69169
1997,Michoacán de Ocampo,16,70.83246
1997,Morelos,17,83.97898
1997,Nayarit,18,87.03599
1997,Nuevo León,19,41.2897
1997,Oaxaca,20,139.99798
1997,Puebla,21,69.21383
1997,Querétaro,22,75.14017
1997,Quintana Roo,23,45.6246
1997,San Luis Potosí,24,70.06704
1997,Sinaloa,25,46.46609
1997,Sonora,26,55.0128
1997,Tabasco,27,89.56094
1997,Tamaulipas,28,56.98998
1997,Tlaxcala,29,139.56456
1997,Veracruz de Ignacio de la Llave,30,76.70504
1997,Yucatán,31,88.51796
1997,Zacatecas,32,90.48781
1996,Estados Unidos Mexicanos,0,81.4795
1996,Aguascalientes,1,40.3047
1996,Baja California,2,30.27894
1996,Baja California Sur,3,10.98418
1996,Campeche,4,94.64096
1996,Coahuila de Zaragoza,5,51.24545
1996,Colima,6,72.70965
1996,Chiapas,7,94.03175
1996,Chihuahua,8,82.85586
1996,Ciudad de México,9,101.05862
1996,Durango,10,39.86049
1996,Guanajuato,11,64.5172
1996,Guerrero,12,158.66312
1996,Hidalgo,13,73.42896
1996,Jalisco,14,38.92132
1996,México,15,110.62705
1996,Michoacán de Ocampo,16,56.30278
1996,Morelos,17,128.78991
1996,Nayarit,18,17.2117
1996,Nuevo León,19,25.45269
1996,Oaxaca,20,161.04848
1996,Puebla,21,104.50194
1996,Querétaro,22,49.51793
1996,Quintana Roo,23,51.75009
1996,San Luis Potosí,24,70.6503
1996,Sinaloa,25,31.06453
1996,Sonora,26,63.85576
1996,Tabasco,27,45.62895
1996,Tamaulipas,28,41.09892
1996,Tlaxcala,29,103.52791
1996,Veracruz de Ignacio de la Llave,30,108.25058
1996,Yucatán,31,87.74569
1996,Zacatecas,32,59.53992
1995,Estados Unidos Mexicanos,0,82.1554
1995,Aguascalientes,1,56.50174
1995,Baja California,2,24.91233
1995,Baja California Sur,3,33.05057
1995,Campeche,4,135.71724
1995,Coahuila de Zaragoza,5,41.86842
1995,Colima,6,40.31608
1995,Chiapas,7,118.52042
1995,Chihuahua,8,47.5325
1995,Ciudad de México,9,86.472
1995,Durango,10,46.48545
1995,Guanajuato,11,73.28239
1995,Guerrero,12,102.69721
1995,Hidalgo,13,98.05082
1995,Jalisco,14,43.71814
1995,México,15,104.54388
1995,Michoacán de Ocampo,16,80.1395
1995,Morelos,17,98.87761
