Year,Tipo de servicio,Entidad federativa,Sexo,GeoCode,Value
2017,Satisfacción con el servicio de educación pública obligatoria,Campeche,Mujeres,4,81.03564346
2015,Satisfacción con el servicio de educación pública obligatoria,Campeche,Mujeres,4,74.0986239
2013,Satisfacción con el servicio de educación pública obligatoria,Campeche,Mujeres,4,74.72575282
2021,Satisfacción con el servicio de educación pública obligatoria,Campeche,Hombres,4,66.22904781
2019,Satisfacción con el servicio de educación pública obligatoria,Campeche,Hombres,4,67.89305094
2017,Satisfacción con el servicio de educación pública obligatoria,Campeche,Hombres,4,79.46594394
2015,Satisfacción con el servicio de educación pública obligatoria,Campeche,Hombres,4,77.82798005
2013,Satisfacción con el servicio de educación pública obligatoria,Campeche,Hombres,4,72.29944093
2021,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Total,5,83.04115749
2019,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Total,5,58.32220813
2017,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Total,5,70.97243056
2015,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Total,5,75.04089422
2013,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Total,5,72.70768138
2021,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Mujeres,5,73.73919171
2019,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Mujeres,5,72.2344332
2017,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Mujeres,5,72.69299381
2015,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Mujeres,5,73.02115206
2013,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Mujeres,5,73.02663822
2021,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Hombres,5,77.32886709
2019,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Hombres,5,70.61814897
2017,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Hombres,5,71.91689571
2015,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Hombres,5,73.84819254
2013,Satisfacción con el servicio de educación pública obligatoria,Coahuila de Zaragoza,Hombres,5,72.87798383
2021,Satisfacción con el servicio de educación pública obligatoria,Colima,Total,6,72.5714967
2019,Satisfacción con el servicio de educación pública obligatoria,Colima,Total,6,72.92839123
2017,Satisfacción con el servicio de educación pública obligatoria,Colima,Total/,6,79.47129982
2015,Satisfacción con el servicio de educación pública obligatoria,Colima,Total,6,77.90754398
2013,Satisfacción con el servicio de educación pública obligatoria,Colima,Total,6,79.36614657
2021,Satisfacción con el servicio de educación pública obligatoria,Colima,Mujeres,6,71.33149088
2019,Satisfacción con el servicio de educación pública obligatoria,Colima,Mujeres,6,72.7827594
2017,Satisfacción con el servicio de educación pública obligatoria,Colima,Mujeres,6,78.10325515
2015,Satisfacción con el servicio de educación pública obligatoria,Colima,Mujeres,6,82.47272578
2013,Satisfacción con el servicio de educación pública obligatoria,Colima,Mujeres,6,79.05305432
2021,Satisfacción con el servicio de educación pública obligatoria,Colima,Hombres,6,71.98418462
2019,Satisfacción con el servicio de educación pública obligatoria,Colima,Hombres,6,72.80643635
2017,Satisfacción con el servicio de educación pública obligatoria,Colima,Hombres,6,78.66859191
2015,Satisfacción con el servicio de educación pública obligatoria,Colima,Hombres,6,80.57000706
2013,Satisfacción con el servicio de educación pública obligatoria,Colima,Hombres,6,79.18822882
2021,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Total,7,46.84347294
2019,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Total,7,59.98702027
2017,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Total,7,54.48593875
2015,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Total,7,63.70582859
2013,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Total,7,75.85614446
2021,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Mujeres,7,48.24058452
2019,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Mujeres,7,49.40361553
2017,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Mujeres,7,62.52767398
2015,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Mujeres,7,60.79838062
2013,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Mujeres,7,74.33623033
2021,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Hombres,7,47.62331771
2019,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Hombres,7,51.0398329
2017,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Hombres,7,59.09936657
2015,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Hombres,7,62.15887673
2013,Satisfacción con el servicio de educación pública obligatoria,Chiapas,Hombres,7,75.02757619
2021,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Total,8,80.91269841
2019,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Total,8,65.26254458
2017,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Total,8,74.48841164
2015,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Total,8,77.63284868
2013,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Total,8,81.40934514
2021,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Mujeres,8,70.75994041
2019,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Mujeres,8,61.35419461
2017,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Mujeres,8,74.71952197
2015,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Mujeres,8,77.75809682
2013,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Mujeres,8,79.29683638
2021,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Hombres,8,75.54660754
2019,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Hombres,8,62.21649943
2017,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Hombres,8,74.60952361
2015,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Hombres,8,77.71192413
2013,Satisfacción con el servicio de educación pública obligatoria,Chihuahua,Hombres,8,80.26237847
2021,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Total,9,53.39564033
2019,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Total,9,64.19814228
2017,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Total,9,60.62511416
2015,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Total,9,59.02859607
2013,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Total,9,66.65272832
2021,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Mujeres,9,55.96816285
2019,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Mujeres,9,58.11435056
2017,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Mujeres,9,58.49547672
2015,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Mujeres,9,59.62849314
2013,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Mujeres,9,69.02302878
2021,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Hombres,9,54.91431819
2019,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Hombres,9,59.5091975
2017,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Hombres,9,59.37177042
2015,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Hombres,9,59.3584487
2013,Satisfacción con el servicio de educación pública obligatoria,Ciudad de México,Hombres,9,68.0078302
2021,Satisfacción con el servicio de educación pública obligatoria,Durango,Total,10,82.78817872
2019,Satisfacción con el servicio de educación pública obligatoria,Durango,Total,10,64.33651302
2017,Satisfacción con el servicio de educación pública obligatoria,Durango,Total,10,67.61879901
2015,Satisfacción con el servicio de educación pública obligatoria,Durango,Total,10,75.62400982
2013,Satisfacción con el servicio de educación pública obligatoria,Durango,Total,10,72.69212033
2021,Satisfacción con el servicio de educación pública obligatoria,Durango,Mujeres,10,82.02525781
2019,Satisfacción con el servicio de educación pública obligatoria,Durango,Mujeres,10,75.32993064
2017,Satisfacción con el servicio de educación pública obligatoria,Durango,Mujeres,10,74.43619237
2015,Satisfacción con el servicio de educación pública obligatoria,Durango,Mujeres,10,78.49455508
2013,Satisfacción con el servicio de educación pública obligatoria,Durango,Mujeres,10,81.30053469
2021,Satisfacción con el servicio de educación pública obligatoria,Durango,Hombres,10,82.39057826
2019,Satisfacción con el servicio de educación pública obligatoria,Durango,Hombres,10,73.37958178
2017,Satisfacción con el servicio de educación pública obligatoria,Durango,Hombres,10,71.51055827
2015,Satisfacción con el servicio de educación pública obligatoria,Durango,Hombres,10,77.2551631
2013,Satisfacción con el servicio de educación pública obligatoria,Durango,Hombres,10,77.46632312
2021,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Total,11,55.54190794
2019,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Total,11,54.4311051
2017,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Total,11,75.08898128
2015,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Total,11,74.77826837
2013,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Total,11,71.61072631
2021,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Mujeres,11,60.29815012
2019,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Mujeres,11,68.58873001
2017,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Mujeres,11,73.97478498
2015,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Mujeres,11,65.56143942
2013,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Mujeres,11,82.75439506
2021,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Hombres,11,58.33027954
2019,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Hombres,11,65.82202959
2017,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Hombres,11,74.43032222
2015,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Hombres,11,70.21706576
2013,Satisfacción con el servicio de educación pública obligatoria,Guanajuato,Hombres,11,78.01054206
2021,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Total,12,39.27955775
2019,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Total,12,51.93330055
2017,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Total,12,62.72920056
2015,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Total,12,67.58506474
2013,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Total,12,65.75875486
2021,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Mujeres,12,57.31728301
2019,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Mujeres,12,53.94087748
2017,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Mujeres,12,64.18569454
2015,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Mujeres,12,60.83038153
2013,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Mujeres,12,68.37907594
2021,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Hombres,12,49.05982374
2019,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Hombres,12,53.56785407
2017,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Hombres,12,63.59399775
2015,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Hombres,12,63.59888309
2013,Satisfacción con el servicio de educación pública obligatoria,Guerrero,Hombres,12,67.25671441
2021,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Total,13,55.94986545
2019,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Total,13,61.35267762
2017,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Total,13,69.4826114
2015,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Total,13,79.14437539
2013,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Total,13,64.6193655
2021,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Mujeres,13,68.63608482
2019,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Mujeres,13,59.84516129
2017,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Mujeres,13,69.00746436
2015,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Mujeres,13,67.48408836
2013,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Mujeres,13,59.45424531
2021,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Hombres,13,61.68245578
2019,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Hombres,13,60.12964529
2017,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Hombres,13,69.20684039
2015,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Hombres,13,68.41805017
2013,Satisfacción con el servicio de educación pública obligatoria,Hidalgo,Hombres,13,73.14857758
2021,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Total,14,59.36488187
2019,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Total,14,68.35059559
2017,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Total,14,61.87559483
2015,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Total,14,77.58221951
2013,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Total,14,75.87483193
2021,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Mujeres,14,65.52173305
2019,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Mujeres,14,63.77616343
2017,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Mujeres,14,71.63736091
2015,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Mujeres,14,65.76828704
2013,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Mujeres,14,72.40948867
2021,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Hombres,14,62.64037602
2019,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Hombres,14,64.67011485
2017,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Hombres,14,67.82416553
2015,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Hombres,14,70.9527058
2013,Satisfacción con el servicio de educación pública obligatoria,Jalisco,Hombres,14,74.01864236
2021,Satisfacción con el servicio de educación pública obligatoria,México,Total,15,66.18025719
2019,Satisfacción con el servicio de educación pública obligatoria,México,Total,15,47.9328962
2017,Satisfacción con el servicio de educación pública obligatoria,México,Total,15,59.22861936
2015,Satisfacción con el servicio de educación pública obligatoria,México,Total,15,64.24919261
2013,Satisfacción con el servicio de educación pública obligatoria,México,Total,15,76.33726738
2021,Satisfacción con el servicio de educación pública obligatoria,México,Mujeres,15,57.30850346
2019,Satisfacción con el servicio de educación pública obligatoria,México,Mujeres,15,54.72934722
2017,Satisfacción con el servicio de educación pública obligatoria,México,Mujeres,15,60.92891888
2015,Satisfacción con el servicio de educación pública obligatoria,México,Mujeres,15,66.21644105
2013,Satisfacción con el servicio de educación pública obligatoria,México,Mujeres,15,72.07128736
2021,Satisfacción con el servicio de educación pública obligatoria,México,Hombres,15,60.96403457
2019,Satisfacción con el servicio de educación pública obligatoria,México,Hombres,15,53.01089391
2017,Satisfacción con el servicio de educación pública obligatoria,México,Hombres,15,60.20548714
2015,Satisfacción con el servicio de educación pública obligatoria,México,Hombres,15,65.36917441
2013,Satisfacción con el servicio de educación pública obligatoria,México,Hombres,15,73.77774586
2021,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Total,16,45.7345043
2019,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Total,16,39.51511146
2017,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Total,16,47.43480302
2015,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Total,16,57.85916169
2013,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Total,16,59.89289172
2021,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Mujeres,16,40.38322515
2019,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Mujeres,16,50.01485083
2017,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Mujeres,16,59.96941671
2015,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Mujeres,16,57.3080582
2013,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Mujeres,16,59.13875985
2021,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Hombres,16,43.04595504
2019,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Hombres,16,48.39000623
2017,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Hombres,16,54.53114511
2015,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Hombres,16,57.51143911
2013,Satisfacción con el servicio de educación pública obligatoria,Michoacán de Ocampo,Hombres,16,59.47417765
2021,Satisfacción con el servicio de educación pública obligatoria,Morelos,Total,17,62.18396458
2019,Satisfacción con el servicio de educación pública obligatoria,Morelos,Total,17,62.7024037
2017,Satisfacción con el servicio de educación pública obligatoria,Morelos,Total,17,65.56125434
2015,Satisfacción con el servicio de educación pública obligatoria,Morelos,Total,17,62.58089075
2013,Satisfacción con el servicio de educación pública obligatoria,Morelos,Total,17,62.73769517
2021,Satisfacción con el servicio de educación pública obligatoria,Morelos,Mujeres,17,67.52019552
2019,Satisfacción con el servicio de educación pública obligatoria,Morelos,Mujeres,17,53.42788017
2017,Satisfacción con el servicio de educación pública obligatoria,Morelos,Mujeres,17,64.50074607
2015,Satisfacción con el servicio de educación pública obligatoria,Morelos,Mujeres,17,68.66366502
2013,Satisfacción con el servicio de educación pública obligatoria,Morelos,Mujeres,17,66.49142225
2021,Satisfacción con el servicio de educación pública obligatoria,Morelos,Hombres,17,64.79588342
2019,Satisfacción con el servicio de educación pública obligatoria,Morelos,Hombres,17,55.11101782
2017,Satisfacción con el servicio de educación pública obligatoria,Morelos,Hombres,17,64.96839661
2015,Satisfacción con el servicio de educación pública obligatoria,Morelos,Hombres,17,66.04292875
2013,Satisfacción con el servicio de educación pública obligatoria,Morelos,Hombres,17,65.12608212
2021,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Total,18,73.47695439
2019,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Total,18,69.04322767
2017,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Total,18,76.10995472
2015,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Total,18,75.14228227
2013,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Total,18,77.21304779
2021,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Mujeres,18,76.17347233
2019,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Mujeres,18,71.71562543
2017,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Mujeres,18,80.23780155
2015,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Mujeres,18,74.81320497
2013,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Mujeres,18,72.81478826
2021,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Hombres,18,74.98152215
2019,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Hombres,18,71.19964389
2017,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Hombres,18,78.23515939
2015,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Hombres,18,74.93975637
2013,Satisfacción con el servicio de educación pública obligatoria,Nayarit,Hombres,18,74.43813872
2021,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Total,19,76.34583424
2019,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Total,19,69.86918222
2017,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Total,19,74.69796729
2015,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Total,19,67.85161638
2013,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Total,19,71.41736969
2021,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Mujeres,19,69.47090904
2019,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Mujeres,19,67.31634496
2017,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Mujeres,19,72.49752792
2015,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Mujeres,19,81.24441708
2013,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Mujeres,19,72.91401826
2021,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Hombres,19,72.11631679
2019,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Hombres,19,67.90026926
2017,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Hombres,19,73.45941324
2015,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Hombres,19,75.41391789
2013,Satisfacción con el servicio de educación pública obligatoria,Nuevo León,Hombres,19,72.24346166
2021,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Total,20,37.574145
2019,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Total,20,45.01047391
2017,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Total,20,57.31305819
2015,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Total,20,57.32517598
2013,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Total,20,56.83513987
2021,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Mujeres,20,51.49044342
2019,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Mujeres,20,44.97829935
2017,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Mujeres,20,64.64254953
2015,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Mujeres,20,49.94473917
2013,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Mujeres,20,60.76107741
2021,Satisfacción con el servicio de educación pública obligatoria,Oaxaca,Hombres,20,45.72413696
